campo,pregunta,definicion_inicial,fuente,responsable,fecha_corte,periodicidad,desagregacion,control_calidad,decision_asociada
resultado,Que cambio espera producir el programa?,,,,,,,,
poblacion,Quien es elegible y cual es la unidad de analisis?,,,,,,,,
indicador,Como se medira el cambio?,,,,,,,,
calculo,Que numerador denominador y unidad se usaran?,,,,,,,,
comparacion,Contra que momento meta territorio o grupo se interpretara?,,,,,,,,
repeticion,Cuando y bajo que protocolo se volvera a medir?,,,,,,,,
limitaciones,Que no permite afirmar esta medicion?,,,,,,,,
